exp	item	text	mean_rating	LogProb	MeanLP	NormLPDiv	NormLPSub	SLOR	WordLPMin-1	WordLPMin-2	WordLPMin-3	WordLPMin-4	WordLPMin-5	WordLPMean	WordLPMeanQ1	WordLPMeanQ2	language
Lau2017	0	Even during 1980 Braniff continued to set record traffic levels and revenues .	3.47058823529	-51.00784027657937	-4.637076388779943	-0.3104625359202707	113.28844148051678	10.298949225501525	-0.6599034982035871	-0.4999211647296139	-0.5481927116746931	-0.6374039876304246	-0.5875201759754898	-0.3299410700248753	-0.5799123314666005	-0.5865883076427616	en
Lau2017	1	"The series is based on the """" Outlander """" novels written by Diana Gabaldon ."	3.93333333333	-19.5205444204621	-1.5015803400355463	-0.09229456631661202	191.98209543698977	14.767853495153059	-0.5127161240242117	-0.23744144799533815	-0.09810964551984087	-0.0893427108767389	-0.015458398444971972	-0.07766875776002337	-0.28275573917979696	-0.15976396753899896	en
Lau2017	2	There are also other desirable camping spots on this lake .	3.72222222222	-45.96707824990153	-5.107453138877948	-0.39805719784491306	69.5114974391399	7.723499715459989	-0.7998820593895937	-0.6812173329221314	-0.7186366189070619	-0.307867615323036	-0.515739978166163	-0.3981783668949237	-0.7405496961558625	-0.6269009066354557	en
Lau2017	3	To the southwest is the small crater Dunthorne .	3.66666666667	-13.549723453819752	-1.9356747791171074	-0.1265894609601553	93.48701839694616	13.355288342420879	-0.2832983427724244	-0.18888161718230806	-0.2721956124295795	-0.016669018580374124	-0.04085769409421034	-0.11944351003005108	-0.2832983427724244	-0.24812519079477066	en
Lau2017	4	On their way to a picnic , Johnny , the Sprites and Gwen encounter a Bridge Troll ( Christian Borle ) .	3.11764705882	-82.59393830923364	-5.162121144327102	-0.3013244351552852	191.50908379273926	11.969317737046204	-1.0304547341983605	-0.3979842939504027	-0.2565837359144872	-0.5122794058071399	-0.5568944569945549	-0.2735660768147868	-0.5493255424675976	-0.5119714495409373	en
Lau2017	5	The single peaked at number 19 in the United Kingdom .	3.94736842105	-9.047034659524229	-1.0052260732804699	-0.08622108044801483	95.88130319607649	10.653478132897387	-0.551049874471259	-0.12205945709303519	-0.03298186275390831	-0.03523901196454815	-0.0030748365864730507	-0.08290004375764322	-0.3365546657821471	-0.18533255157068768	en
Lau2017	6	Weaver's time with the Yankees was very turbulent , bouncing in and out of the starting rotation .	3.64705882353	-29.039638284797547	-1.93597588565317	-0.17503726594139069	136.86582263871318	9.124388175914213	-0.5476815513699751	-0.33156017835597074	-0.46626355000060266	-0.2736527515005691	-0.04856161918985912	-0.11913681799275741	-0.4485017599088495	-0.24876330400977095	en
Lau2017	7	International entrepreneurship program is a nine month program , on-top-of the bachelor's or the master's degree .	3.33333333333	-35.867234693265345	-2.561945335233239	-0.15028535104193297	202.79364904953928	14.485260646395663	-1.474803428459932	-0.1448771598093866	-0.3559669107556505	-0.36385172430141627	-0.5486999171173733	-0.25194276384871517	-0.6585491663416564	-0.4434627280084052	en
Lau2017	8	Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .	3.93333333333	-29.959632668332148	-1.7623313334313029	-0.13721671828158927	188.37843169821605	11.08108421754212	-0.7333583991308784	-0.5355553952291343	-0.23773633815799303	-0.27971974725989474	-0.09916281296016272	-0.13204223151557798	-0.44659246994447516	-0.270786715281844	en
Lau2017	9	They should also provide equipment and services to transport operators .	4.0	-30.369199216365814	-3.3743554684850903	-0.28225252093504766	77.22664834509641	8.580738705010711	-0.5533017549806792	-0.6464179620302416	-0.4069398889042412	-0.27608248186656825	-0.20293842206809298	-0.24559628838451342	-0.5998598585054604	-0.47068552194543256	en
