exp	item	text	language	mean_rating	LogProb	MeanLP	NormLPDiv	NormLPSub	SLOR	WordLPMin-1	WordLPMin-2	WordLPMin-3	WordLPMin-4	WordLPMin-5	WordLPMean	WordLPMeanQ1	WordLPMeanQ2
Lau2017	0	Even during 1980 Braniff continued to set record traffic levels and revenues .	en	3.47058823529	-111.78418442606926	-10.162198584188115	-0.6803817057243973	52.512097331026894	4.773827030093354	-0.6410789341164096	-0.8860065865443654	-0.72189774604284	-0.8237642211273802	-0.7503525967479188	-0.6501481047651221	-0.7635427603303875	-0.7646200169157827
Lau2017	1	"The series is based on the """" Outlander """" novels written by Diana Gabaldon ."	en	3.93333333333	-85.9122869730927	-6.608637459468669	-0.40619959652038246	125.59035288435916	9.660796375719936	-0.5043152259996675	-1.1405718222590935	-0.6897477156548052	-0.8094876588586754	-0.43722477481162375	-0.4029238949980448	-0.7782115879711887	-0.6423347897355257
Lau2017	2	There are also other desirable camping spots on this lake .	en	3.72222222222	-67.53797316551208	-7.5042192406124535	-0.5848528418585374	47.94060252352935	5.326733613725484	-0.9092195611705712	-0.8677210704467454	-0.5036431316486994	-0.5396178396796228	-0.6201243818504882	-0.5697821706426258	-0.8884703158086583	-0.7050504007364098
Lau2017	3	To the southwest is the small crater Dunthorne .	en	3.66666666667	-71.00671339035034	-10.143816198621478	-0.6633863490477896	36.030028460415565	5.14714692291651	-0.7492360304364846	-0.7324133515432649	-0.4938101174484855	-0.6326561551480414	-0.67405510203681	-0.6325347674101821	-0.7492360304364846	-0.6584864998094117
Lau2017	4	On their way to a picnic , Johnny , the Sprites and Gwen encounter a Bridge Troll ( Christian Borle ) .	en	3.11764705882	-154.18026435375214	-9.636266522109509	-0.5624902023020869	119.92275774822076	7.4951723592637975	-0.5220363937398939	-1.0464271769869176	-0.45216362418641115	-0.9902949590857987	-0.3645878637596438	-0.5967283484931559	-0.7527305384997554	-0.6614096207381222
Lau2017	5	The single peaked at number 19 in the United Kingdom .	en	3.94736842105	-52.40719220042229	-5.823021355602476	-0.49945699390133785	52.52114565517843	5.835682850575381	-0.9311645181887105	-0.8968344933773618	-0.5801991236897289	-0.46639724988425346	-0.38281931246067097	-0.44432782697006107	-0.9139995057830361	-0.7186488462850137
Lau2017	6	Weaver's time with the Yankees was very turbulent , bouncing in and out of the starting rotation .	en	3.64705882353	-76.21869767270982	-5.081246511513988	-0.4594104211424951	89.68676325080091	5.9791175500533935	-0.6798007575087257	-0.5987405980148912	-0.9696919978637785	-1.185627990009792	-0.4224193485650546	-0.44083402530824106	-0.7494111177957984	-0.6963368295467126
Lau2017	7	International entrepreneurship program is a nine month program , on-top-of the bachelor's or the master's degree .	en	3.33333333333	-116.89860951900482	-8.349900679928917	-0.4898105114073985	121.7622742237998	8.697305301699986	-0.6135310426480035	-0.8632361822106552	-2.256592745278803	-0.3097153505477168	-0.7768270140978849	-0.6813679706890426	-1.244453323379154	-1.0149829420448189
Lau2017	8	Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .	en	3.93333333333	-111.38521467614919	-6.552071451538188	-0.5101502342218924	106.952849690399	6.291344099435236	-0.9789748693230995	-0.32528110191468446	-0.8242860753105546	-0.7406540432266747	-0.7029972462198879	-0.5234333598545639	-0.7172990224437533	-0.6362127774765334
Lau2017	9	They should also provide equipment and services to transport operators .	en	4.0	-63.2156800031662	-7.023964444796245	-0.5875289933197038	44.38016755829602	4.931129728699558	-0.7668972051067056	-0.7847352513335305	-0.6312717891808339	-0.5961726791227878	-0.6683565785226736	-0.542411677407697	-0.775816228220118	-0.6947692311859645
Lau2017	10	Prijepolje has many historical monuments from both the periods of Christianity and Islam .	en	3.61111111111	-75.87784856557846	-6.323154047131538	-0.5212404234167326	69.69383996195157	5.807819996829298	-0.7384147230354428	-0.6512627225852303	-0.8048609716506664	-0.5197038971210762	-0.8180227007811817	-0.515521980291447	-0.7315128057571131	-0.7084029507598792
Lau2017	11	Its capitula is in diameter and is globose and quite ovate .	en	1.92857142857	-117.02424550056458	-11.702424550056458	-0.6531350296350213	62.1488813273732	6.21488813273732	-0.7364820714356256	-0.5981232207632953	-1.0361462264938786	-0.41408653602868734	-0.7740299028207056	-0.6919818048196198	-0.6673026460994604	-0.7117735915084384
Lau2017	12	They are perceived/misconceived to severely damage hard terrain like asphalt pavement , but , actually , often have significantly lower ground pressures than equivalent or lighter wheeled vehicles .	en	2.88235294118	-218.236311763525	-9.093179656813541	-0.5801629688942961	157.9274964496238	6.580312352067658	-0.7282119388398903	-0.8367358171243631	-0.8600867658327376	-0.3570486965655297	-0.9432560814044544	-0.5897468881541467	-0.7163980505319212	-0.6964436386051286
Lau2017	13	After the performances , both Abhishek's & Kushal's jodi's had a tie , so the decision of elimination was made with the help of audiences votes .	en	2.875	-210.88894899142906	-9.58586131779223	-0.6546821993914191	111.23520405178436	5.056145638717471	-0.8632564469740868	-0.653384912947982	-0.4539098375296835	-0.9356948841594619	-0.9336728005071466	-0.6123586370427847	-0.7679837764236721	-0.7320015985970582
Lau2017	14	"In conjunction with the 2010 show """" Sum of Limited Views """" , the Kunsthalle Zürich published the exhibition book , """" Elad Lassry """" ."	en	3.11764705882	-253.933331027627	-11.542424137619408	-0.6604456635393047	130.55451565881708	5.934296166309867	-0.8797690422112491	-0.6086312613019851	-0.5801105843879967	-1.1162576880617905	-0.9738917331014749	-0.6350476867670435	-0.8317320618128992	-0.8239583125602092
Lau2017	15	This species is native to a tropical climate .	en	3.94117647059	-39.54776219278574	-5.6496803132551054	-0.47924640515025596	42.97296569955287	6.138995099936125	-0.9303687177509522	-1.0213418313352336	-0.42975583199222556	-0.3789531981831582	-0.319456964990305	-0.4781112285533876	-0.9303687177509522	-0.7938221270261371
Lau2017	16	Batman located Josh's parents , who convinced him to stop , and he regained consciousness .	en	3.13333333333	-87.09506845474243	-7.257922371228536	-0.4892196521225271	90.9334879960706	7.577790666339216	-0.4956025035932389	-1.060622056127721	-0.6538485512935774	-0.6731005439488783	-0.5123196899696036	-0.4524078760001589	-0.7366910370048458	-0.6437933887986645
Lau2017	17	At the instigation of Varlaam and Misail , the vagabonds prepare to hang the Jesuits , who appeal to the Holy Virgin for aid .	en	3.16666666667	-194.14287639409304	-9.244898875909191	-0.5496052111767519	159.09772694446792	7.576082235450853	-0.8135479562337906	-0.6228931368817632	-0.6120992438312004	-0.4223136644580291	-0.4101860476716085	-0.500461867070471	-0.5762080098152783	-0.6149487565458565
Lau2017	18	This opportunity helped lay the foundations for his solo career .	en	3.93333333333	-57.35686181485653	-6.37298464609517	-0.4881934508526682	60.131117007223665	6.681235223024852	-0.8541248834964763	-0.7844253550553146	-0.7527293261953463	-0.6350966639438944	-0.6423826058738505	-0.444833520132735	-0.8192751192758955	-0.7565940571727579
